Name,EGName,Id,IdDivide,Role,SummonGold,SellingGold,Rarity,MaxUPLevel,AttackPower,APS,DPS,AttackRange,SkillID,GuardenerDrawId,Reference
가시 활잡이,Thorn Archer,11235,1,2,50,35,1,5,35,1.5,52.5,2,10052,1181,가시화살을 무기로 사용하는 원거리 딜러 
나비 사수,Butterfly Marksman,11245,1,2,80,56,2,10,45,1.7,76.5,2,20072,261,나비의 날개짓으로 바람화살을 사용하는 원거리 딜러 
태양 궁수,Sun Archer,11260,1,2,120,84,3,15,60,1.4,84,3,02082,311,강력한 태양빛을 화살로 사용하는 원거리 딜러 
거목 기사,Greatwood Knight,11120,1,1,40,28,1,5,20,1.2,24,1,006122,1182,거대한 나무 아래 태어난 근거리 딜러 
덩굴 기사,Vine Knight,11125,1,1,70,49,2,10,25,1.2,30,2,02182,262,덩굴처럼 상대를 휘감아 빠르게 제압하는 근거리 딜러 
가시 기사,Thorn Knight,11135,1,1,110,77,3,15,35,1.2,42,2,006122,312,정원을 지키기 위해 가시를 든 근거리 딜러 
햇빛 마도사,Sunlight Mage,11250,1,2,60,42,1,5,45,1.3,58.5,2,000102,1183,햇빛의 기운을 사용하는 원거리 딜러 
꽃가루 연금술사,Pollen Alchemist,11255,1,2,90,63,2,10,55,1.3,71.5,2,000621,263,정원의 꽃으로 아군의 전투를 돕는 원거리 딜러 
아침의 예언자,Prophet of Dawn,11270,1,2,130,91,3,15,70,1.3,91,3,000622,313,다시 돌아올 아침을 위해 아군을 돕는 원거리 딜러
이슬 치유사,Dew Healer,11310,1,3,50,35,1,5,10,1.8,18,1,000623,1184,깨끗한 아침 이슬에서 탄생한 지원가
꽃잎의 음유시인,Petal Bard,11315,1,3,80,56,2,10,15,1.8,27,2,008122,264,꽃잎의 선율로 전장을 물들이는 지원가 
달빛 정령사,Moonlight Spiritcaller,11320,1,3,120,84,3,15,20,1.8,36,2,0012162,314,달빛으로 아군을 감싸주는 지원가 
